nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.402593: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 0 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.38
Updates : 68 		 Survival : 15.0  		 Treated : 0 		 Reward : 14.42
Updates : 70 		 Survival : 7.0  		 Treated : 0 		 Reward : 4.05
Updates : 72 		 Survival : 5.0  		 Treated : 0 		 Reward : -1.87
Updates : 74 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.15
Updates : 76 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 78 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 80 		 Survival : 16.0  		 Treated : 0 		 Reward : 7.5
Updates : 82 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.56
Updates : 84 		 Survival : 8.0  		 Treated : 0 		 Reward : 1.56
Updates : 86 		 Survival : 8.0  		 Treated : 0 		 Reward : 1.44
Updates : 88 		 Survival : 8.0  		 Treated : 0 		 Reward : 0.15
Updates : 90 		 Survival : 9.0  		 Treated : 0 		 Reward : 0.72
Updates : 92 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 94 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 96 		 Survival : 13.0  		 Treated : 0 		 Reward : 12.45
Updates : 98 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.06
Updates : 100 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 102 		 Survival : 8.0  		 Treated : 0 		 Reward : 3.77
Updates : 104 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.09
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 106 		 Survival : 11.0  		 Treated : 0 		 Reward : 13.1
Updates : 108 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.2
Updates : 110 		 Survival : 3.0  		 Treated : 0 		 Reward : 0.12
Updates : 112 		 Survival : 24.0  		 Treated : 0 		 Reward : 40.42
Updates : 114 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.23
Updates : 116 		 Survival : 14.0  		 Treated : 0 		 Reward : 11.61
Updates : 118 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.52
Updates : 120 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.34
Updates : 122 		 Survival : 17.0  		 Treated : 0 		 Reward : 44.44
Updates : 124 		 Survival : 8.0  		 Treated : 0 		 Reward : 7.89
Updates : 126 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.45
Updates : 128 		 Survival : 12.0  		 Treated : 0 		 Reward : 8.26
Updates : 130 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.22
Updates : 132 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.56
Updates : 134 		 Survival : 6.0  		 Treated : 0 		 Reward : 3.22
Updates : 136 		 Survival : 31.0  		 Treated : 0 		 Reward : -22.36
Updates : 138 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 140 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 142 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.61
Updates : 144 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.47
Updates : 146 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 148 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 150 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 152 		 Survival : 14.0  		 Treated : 0 		 Reward : 0.67
Updates : 154 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.24
Updates : 156 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.23
Updates : 158 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.09
Updates : 160 		 Survival : 11.0  		 Treated : 0 		 Reward : 2.91
Updates : 162 		 Survival : 19.0  		 Treated : 0 		 Reward : 8.13
Updates : 164 		 Survival : 12.0  		 Treated : 0 		 Reward : 16.96
Updates : 166 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 168 		 Survival : 9.0  		 Treated : 0 		 Reward : 6.8
Updates : 170 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.97
Updates : 172 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 174 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 176 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.6
Updates : 178 		 Survival : 16.0  		 Treated : 0 		 Reward : 37.07
Updates : 180 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 182 		 Survival : 7.0  		 Treated : 0 		 Reward : 0.06
Updates : 184 		 Survival : 41.0  		 Treated : 0 		 Reward : 38.64
Updates : 186 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 188 		 Survival : 13.0  		 Treated : 0 		 Reward : 32.88
Updates : 190 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.55
Updates : 192 		 Survival : 13.0  		 Treated : 0 		 Reward : 2.69
Updates : 194 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.42
Updates : 196 		 Survival : 8.0  		 Treated : 0 		 Reward : 6.54
Updates : 198 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.43
Updates : 200 		 Survival : 38.0  		 Treated : 0 		 Reward : 328.29
Updates : 202 		 Survival : 8.0  		 Treated : 0 		 Reward : 6.91
Updates : 204 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.21
Updates : 206 		 Survival : 68.0  		 Treated : 0 		 Reward : 1894.03
Updates : 208 		 Survival : 29.0  		 Treated : 0 		 Reward : 151.18
Updates : 210 		 Survival : 70.0  		 Treated : 0 		 Reward : 1997.4
Updates : 212 		 Survival : 8.0  		 Treated : 0 		 Reward : 1.99
Updates : 214 		 Survival : 36.0  		 Treated : 0 		 Reward : 164.75
Updates : 216 		 Survival : 30.0  		 Treated : 0 		 Reward : 128.14
Updates : 218 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.39
Updates : 220 		 Survival : 12.0  		 Treated : 0 		 Reward : 26.46
Updates : 222 		 Survival : 86.0  		 Treated : 0 		 Reward : 2855.91
Updates : 224 		 Survival : 88.0  		 Treated : 0 		 Reward : 2966.9
Updates : 226 		 Survival : 11.0  		 Treated : 0 		 Reward : -0.35
Updates : 228 		 Survival : 13.0  		 Treated : 0 		 Reward : 20.56
Updates : 230 		 Survival : 24.0  		 Treated : 0 		 Reward : 63.2
Updates : 232 		 Survival : 13.0  		 Treated : 0 		 Reward : 2.19
Updates : 234 		 Survival : 11.0  		 Treated : 0 		 Reward : 4.36
Updates : 236 		 Survival : 96.0  		 Treated : 0 		 Reward : 3419.88
Updates : 238 		 Survival : 27.0  		 Treated : 0 		 Reward : 20.57
Updates : 240 		 Survival : 103.0  		 Treated : 0 		 Reward : 3853.25
Updates : 242 		 Survival : 105.0  		 Treated : 0 		 Reward : 3971.92
Updates : 244 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 246 		 Survival : 7.0  		 Treated : 0 		 Reward : 1.22
Updates : 248 		 Survival : 20.0  		 Treated : 0 		 Reward : 56.07
Updates : 250 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 252 		 Survival : 15.0  		 Treated : 0 		 Reward : 31.45
Updates : 254 		 Survival : 24.0  		 Treated : 0 		 Reward : -46.61
Updates : 256 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.99
Updates : 258 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.35
Updates : 260 		 Survival : 17.0  		 Treated : 0 		 Reward : 48.72
Updates : 262 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.98
Updates : 264 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 266 		 Survival : 5.0  		 Treated : 0 		 Reward : 2.01
Updates : 268 		 Survival : 20.0  		 Treated : 0 		 Reward : 64.79
Updates : 270 		 Survival : 12.0  		 Treated : 0 		 Reward : 9.98
Updates : 272 		 Survival : 12.0  		 Treated : 0 		 Reward : 18.45
Updates : 274 		 Survival : 4.0  		 Treated : 0 		 Reward : -1.66
Updates : 276 		 Survival : 92.0  		 Treated : 0 		 Reward : 3191.82
Updates : 278 		 Survival : 92.0  		 Treated : 0 		 Reward : 3191.82
Updates : 280 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.07
Updates : 282 		 Survival : 10.0  		 Treated : 0 		 Reward : 9.36
Updates : 284 		 Survival : 55.0  		 Treated : 0 		 Reward : 387.82
Updates : 286 		 Survival : 5.0  		 Treated : 0 		 Reward : 2.11
Updates : 288 		 Survival : 98.0  		 Treated : 0 		 Reward : 3535.13
Updates : 290 		 Survival : 19.0  		 Treated : 0 		 Reward : 54.0
Updates : 292 		 Survival : 62.0  		 Treated : 0 		 Reward : 729.76
Updates : 294 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.5
Updates : 296 		 Survival : 98.0  		 Treated : 0 		 Reward : 3535.13
Updates : 298 		 Survival : 27.0  		 Treated : 0 		 Reward : 101.56
Updates : 300 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.26
Updates : 302 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.54
Updates : 304 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.05
Updates : 306 		 Survival : 92.0  		 Treated : 0 		 Reward : 3191.82
Updates : 308 		 Survival : 19.0  		 Treated : 0 		 Reward : 85.61
Updates : 310 		 Survival : 44.0  		 Treated : 0 		 Reward : 442.18
Updates : 312 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.58
Updates : 314 		 Survival : 26.0  		 Treated : 0 		 Reward : 121.96
Updates : 316 		 Survival : 28.0  		 Treated : 0 		 Reward : 199.55
Updates : 318 		 Survival : 19.0  		 Treated : 0 		 Reward : 52.41
Updates : 320 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.16
Updates : 322 		 Survival : 14.0  		 Treated : 0 		 Reward : 2.7
Updates : 324 		 Survival : 28.0  		 Treated : 0 		 Reward : 171.27
Updates : 326 		 Survival : 7.0  		 Treated : 0 		 Reward : 1.67
Updates : 328 		 Survival : 30.0  		 Treated : 0 		 Reward : 185.43
Updates : 330 		 Survival : 18.0  		 Treated : 0 		 Reward : 27.54
Updates : 332 		 Survival : 84.0  		 Treated : 0 		 Reward : 2745.71
Updates : 334 		 Survival : 42.0  		 Treated : 0 		 Reward : 360.66
Updates : 336 		 Survival : 78.0  		 Treated : 0 		 Reward : 2420.13
Updates : 338 		 Survival : 45.0  		 Treated : 0 		 Reward : 540.87
Updates : 340 		 Survival : 30.0  		 Treated : 0 		 Reward : 206.98
Updates : 342 		 Survival : 72.0  		 Treated : 0 		 Reward : 2101.78
Updates : 344 		 Survival : 34.0  		 Treated : 0 		 Reward : 161.66
Updates : 346 		 Survival : 65.0  		 Treated : 0 		 Reward : 543.57
Updates : 348 		 Survival : 18.0  		 Treated : 0 		 Reward : 82.12
Updates : 350 		 Survival : 41.0  		 Treated : 0 		 Reward : 213.05
Updates : 352 		 Survival : 60.0  		 Treated : 0 		 Reward : 962.29
Updates : 354 		 Survival : 4.0  		 Treated : 0 		 Reward : -1.27
Updates : 356 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.34
Updates : 358 		 Survival : 80.0  		 Treated : 0 		 Reward : 1147.29
Updates : 360 		 Survival : 15.0  		 Treated : 0 		 Reward : 31.6
Updates : 362 		 Survival : 31.0  		 Treated : 0 		 Reward : 397.04
Updates : 364 		 Survival : 33.0  		 Treated : 0 		 Reward : 450.93
Updates : 366 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.07
Updates : 368 		 Survival : 83.0  		 Treated : 0 		 Reward : -853.15
Updates : 370 		 Survival : 51.0  		 Treated : 0 		 Reward : 1084.01
Updates : 372 		 Survival : 62.0  		 Treated : 0 		 Reward : 1592.04
Updates : 374 		 Survival : 82.0  		 Treated : 0 		 Reward : 2636.36
Updates : 376 		 Survival : 65.0  		 Treated : 0 		 Reward : 706.06
Updates : 378 		 Survival : 108.0  		 Treated : 0 		 Reward : 2407.23
Updates : 380 		 Survival : 107.0  		 Treated : 0 		 Reward : 4091.63
Updates : 382 		 Survival : 16.0  		 Treated : 0 		 Reward : 29.55
Updates : 384 		 Survival : 34.0  		 Treated : 0 		 Reward : 266.08
Updates : 386 		 Survival : 70.0  		 Treated : 0 		 Reward : 852.02
Updates : 388 		 Survival : 105.0  		 Treated : 0 		 Reward : 3971.92
Updates : 390 		 Survival : 101.0  		 Treated : 0 		 Reward : 3735.12
Updates : 392 		 Survival : 108.0  		 Treated : 0 		 Reward : 3060.52
Updates : 394 		 Survival : 108.0  		 Treated : 0 		 Reward : 2943.02
Updates : 396 		 Survival : 108.0  		 Treated : 0 		 Reward : 2768.61
Updates : 398 		 Survival : 108.0  		 Treated : 0 		 Reward : 2409.44
Updates : 400 		 Survival : 108.0  		 Treated : 0 		 Reward : 3123.92
Updates : 402 		 Survival : 108.0  		 Treated : 0 		 Reward : 1396.33
Updates : 404 		 Survival : 14.0  		 Treated : 0 		 Reward : 17.27
Updates : 406 		 Survival : 72.0  		 Treated : 0 		 Reward : 859.71
Updates : 408 		 Survival : 90.0  		 Treated : 0 		 Reward : 3078.98
Updates : 410 		 Survival : 108.0  		 Treated : 0 		 Reward : -821.09
Updates : 412 		 Survival : 103.0  		 Treated : 0 		 Reward : 3853.25
Updates : 414 		 Survival : 71.0  		 Treated : 0 		 Reward : 1268.83
Updates : 416 		 Survival : 10.0  		 Treated : 0 		 Reward : 14.38
Updates : 418 		 Survival : 14.0  		 Treated : 0 		 Reward : 52.67
Updates : 420 		 Survival : 108.0  		 Treated : 0 		 Reward : 1086.43
Updates : 422 		 Survival : 21.0  		 Treated : 0 		 Reward : 90.76
Updates : 424 		 Survival : 13.0  		 Treated : 0 		 Reward : 69.65
Updates : 426 		 Survival : 101.0  		 Treated : 0 		 Reward : 1596.68
Updates : 428 		 Survival : 101.0  		 Treated : 0 		 Reward : 1477.83
Updates : 430 		 Survival : 108.0  		 Treated : 0 		 Reward : 3280.93
Updates : 432 		 Survival : 108.0  		 Treated : 0 		 Reward : 4444.09
Updates : 434 		 Survival : 108.0  		 Treated : 0 		 Reward : 4074.07
Updates : 436 		 Survival : 108.0  		 Treated : 0 		 Reward : 3359.21
Updates : 438 		 Survival : 108.0  		 Treated : 0 		 Reward : 2931.84
Updates : 440 		 Survival : 108.0  		 Treated : 0 		 Reward : 4616.98
Updates : 442 		 Survival : 108.0  		 Treated : 0 		 Reward : 3023.77
Updates : 444 		 Survival : 6.0  		 Treated : 0 		 Reward : 2.93
Updates : 446 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 448 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.75
Updates : 450 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 452 		 Survival : 108.0  		 Treated : 0 		 Reward : 2289.07
Updates : 454 		 Survival : 63.0  		 Treated : 0 		 Reward : 789.94
Updates : 456 		 Survival : 108.0  		 Treated : 0 		 Reward : 3406.9
Updates : 458 		 Survival : 108.0  		 Treated : 0 		 Reward : 3362.14
Updates : 460 		 Survival : 108.0  		 Treated : 0 		 Reward : 3395.44
Updates : 462 		 Survival : 108.0  		 Treated : 0 		 Reward : 3045.22
Updates : 464 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 466 		 Survival : 108.0  		 Treated : 0 		 Reward : 2502.54
Updates : 468 		 Survival : 108.0  		 Treated : 0 		 Reward : 3257.49
Updates : 470 		 Survival : 58.0  		 Treated : 0 		 Reward : 1192.52
Updates : 472 		 Survival : 10.0  		 Treated : 0 		 Reward : 8.01
Updates : 474 		 Survival : 108.0  		 Treated : 0 		 Reward : 3508.89
Updates : 476 		 Survival : 108.0  		 Treated : 0 		 Reward : 2439.62
Updates : 478 		 Survival : 108.0  		 Treated : 0 		 Reward : 1513.33
Updates : 480 		 Survival : 51.0  		 Treated : 0 		 Reward : 563.03
Updates : 482 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 484 		 Survival : 105.0  		 Treated : 0 		 Reward : 4162.95
Updates : 486 		 Survival : 108.0  		 Treated : 0 		 Reward : 3616.91
Updates : 488 		 Survival : 72.0  		 Treated : 0 		 Reward : 1956.93
Updates : 490 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 492 		 Survival : 108.0  		 Treated : 0 		 Reward : 2084.58
Updates : 494 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 496 		 Survival : 108.0  		 Treated : 0 		 Reward : 4205.77
Updates : 498 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 500 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/best/patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:08:57
--------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:08:58
--------------------------------------------------------------------------------------------
Updates : 502 		 Survival : 29.0  		 Treated : 0 		 Reward : 196.84
Updates : 504 		 Survival : 77.0  		 Treated : 0 		 Reward : 1516.4
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 506 		 Survival : 59.0  		 Treated : 0 		 Reward : 573.9
Updates : 508 		 Survival : 35.0  		 Treated : 0 		 Reward : 451.71
Updates : 510 		 Survival : 108.0  		 Treated : 0 		 Reward : 2569.13
Updates : 512 		 Survival : 108.0  		 Treated : 0 		 Reward : 3246.34
Updates : 514 		 Survival : 12.0  		 Treated : 0 		 Reward : 12.7
Updates : 516 		 Survival : 18.0  		 Treated : 0 		 Reward : 145.42
Updates : 518 		 Survival : 108.0  		 Treated : 0 		 Reward : 3514.95
Updates : 520 		 Survival : 108.0  		 Treated : 0 		 Reward : 3738.19
Updates : 522 		 Survival : 108.0  		 Treated : 0 		 Reward : 3707.12
Updates : 524 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 526 		 Survival : 89.0  		 Treated : 0 		 Reward : 2955.66
Updates : 528 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 530 		 Survival : 108.0  		 Treated : 0 		 Reward : 4613.02
Updates : 532 		 Survival : 108.0  		 Treated : 0 		 Reward : 3005.34
Updates : 534 		 Survival : 108.0  		 Treated : 0 		 Reward : 3357.63
Updates : 536 		 Survival : 108.0  		 Treated : 0 		 Reward : 3072.3
Updates : 538 		 Survival : 108.0  		 Treated : 0 		 Reward : 4883.87
Updates : 540 		 Survival : 108.0  		 Treated : 0 		 Reward : 4003.7
Updates : 542 		 Survival : 108.0  		 Treated : 0 		 Reward : 3551.45
Updates : 544 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 546 		 Survival : 108.0  		 Treated : 0 		 Reward : 4510.11
Updates : 548 		 Survival : 108.0  		 Treated : 0 		 Reward : 4893.2
Updates : 550 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/best/patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:10:21
--------------------------------------------------------------------------------------------
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 552 		 Survival : 108.0  		 Treated : 0 		 Reward : 4788.48
Updates : 554 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 556 		 Survival : 15.0  		 Treated : 0 		 Reward : 41.02
Updates : 558 		 Survival : 108.0  		 Treated : 0 		 Reward : 4012.62
Updates : 560 		 Survival : 57.0  		 Treated : 0 		 Reward : 1361.94
Updates : 562 		 Survival : 108.0  		 Treated : 0 		 Reward : 3633.66
Updates : 564 		 Survival : 108.0  		 Treated : 0 		 Reward : 4456.14
Updates : 566 		 Survival : 108.0  		 Treated : 0 		 Reward : 3984.27
Updates : 568 		 Survival : 108.0  		 Treated : 0 		 Reward : 3809.41
Updates : 570 		 Survival : 108.0  		 Treated : 0 		 Reward : 3097.08
Updates : 572 		 Survival : 108.0  		 Treated : 0 		 Reward : 4113.47
Updates : 574 		 Survival : 108.0  		 Treated : 0 		 Reward : 4713.36
Updates : 576 		 Survival : 108.0  		 Treated : 0 		 Reward : 3921.77
Updates : 578 		 Survival : 108.0  		 Treated : 0 		 Reward : 4394.79
Updates : 580 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 582 		 Survival : 53.0  		 Treated : 0 		 Reward : 1085.48
Updates : 584 		 Survival : 108.0  		 Treated : 0 		 Reward : 3971.39
Updates : 586 		 Survival : 108.0  		 Treated : 0 		 Reward : 4365.63
Updates : 588 		 Survival : 52.0  		 Treated : 0 		 Reward : 1054.61
Updates : 590 		 Survival : 108.0  		 Treated : 0 		 Reward : 4048.73
Updates : 592 		 Survival : 108.0  		 Treated : 0 		 Reward : 4220.65
Updates : 594 		 Survival : 108.0  		 Treated : 0 		 Reward : 4568.47
Updates : 596 		 Survival : 108.0  		 Treated : 0 		 Reward : 4371.97
Updates : 598 		 Survival : 108.0  		 Treated : 0 		 Reward : 4678.88
Updates : 600 		 Survival : 108.0  		 Treated : 0 		 Reward : 4485.59
