nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-20 18:14:11.982176: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_3_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Updates : 116 		 SurvivalMonths : 8.0 		 Average Reward : 4.86
Updates : 118 		 SurvivalMonths : 5.0 		 Average Reward : 0.16
Updates : 120 		 SurvivalMonths : 11.0 		 Average Reward : 26.0
Updates : 122 		 SurvivalMonths : 5.0 		 Average Reward : 0.16
Updates : 124 		 SurvivalMonths : 5.0 		 Average Reward : 0.16
Updates : 126 		 SurvivalMonths : 5.0 		 Average Reward : 0.16
Updates : 128 		 SurvivalMonths : 12.0 		 Average Reward : 9.7
Updates : 130 		 SurvivalMonths : 4.0 		 Average Reward : -0.88
Updates : 132 		 SurvivalMonths : 14.0 		 Average Reward : 31.52
Updates : 134 		 SurvivalMonths : 5.0 		 Average Reward : 0.72
Updates : 136 		 SurvivalMonths : 35.0 		 Average Reward : 50.55
Updates : 138 		 SurvivalMonths : 19.0 		 Average Reward : 64.27
Updates : 140 		 SurvivalMonths : 9.0 		 Average Reward : 0.22
Updates : 142 		 SurvivalMonths : 49.0 		 Average Reward : -198.96
Updates : 144 		 SurvivalMonths : 8.0 		 Average Reward : 0.85
Updates : 146 		 SurvivalMonths : 7.0 		 Average Reward : 1.05
Updates : 148 		 SurvivalMonths : 3.0 		 Average Reward : -0.7
Updates : 150 		 SurvivalMonths : 10.0 		 Average Reward : -0.85
Updates : 152 		 SurvivalMonths : 9.0 		 Average Reward : -1.38
Updates : 154 		 SurvivalMonths : 27.0 		 Average Reward : 81.93
Updates : 156 		 SurvivalMonths : 48.0 		 Average Reward : -229.43
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 158 		 SurvivalMonths : 108.0 		 Average Reward : -3255667.47
Updates : 160 		 SurvivalMonths : 8.0 		 Average Reward : 3.89
Updates : 162 		 SurvivalMonths : 9.0 		 Average Reward : 1.78
Updates : 164 		 SurvivalMonths : 62.0 		 Average Reward : -2228.23
Updates : 166 		 SurvivalMonths : 7.0 		 Average Reward : 2.58
Updates : 168 		 SurvivalMonths : 13.0 		 Average Reward : -9.92
Updates : 170 		 SurvivalMonths : 3.0 		 Average Reward : -0.23
Updates : 172 		 SurvivalMonths : 108.0 		 Average Reward : -3244727.97
Updates : 174 		 SurvivalMonths : 9.0 		 Average Reward : 8.75
Updates : 176 		 SurvivalMonths : 49.0 		 Average Reward : -603.18
Updates : 178 		 SurvivalMonths : 5.0 		 Average Reward : -0.97
Updates : 180 		 SurvivalMonths : 14.0 		 Average Reward : 8.4
Updates : 182 		 SurvivalMonths : 10.0 		 Average Reward : 1.18
Updates : 184 		 SurvivalMonths : 26.0 		 Average Reward : -36.98
Updates : 186 		 SurvivalMonths : 16.0 		 Average Reward : 20.08
Updates : 188 		 SurvivalMonths : 6.0 		 Average Reward : -0.57
Updates : 190 		 SurvivalMonths : 12.0 		 Average Reward : -1.43
Updates : 192 		 SurvivalMonths : 9.0 		 Average Reward : 11.6
Updates : 194 		 SurvivalMonths : 11.0 		 Average Reward : -1.34
Updates : 196 		 SurvivalMonths : 5.0 		 Average Reward : -0.04
Updates : 198 		 SurvivalMonths : 6.0 		 Average Reward : 1.85
Updates : 200 		 SurvivalMonths : 7.0 		 Average Reward : 3.16
Updates : 202 		 SurvivalMonths : 10.0 		 Average Reward : 16.23
Updates : 204 		 SurvivalMonths : 7.0 		 Average Reward : 3.7
Updates : 206 		 SurvivalMonths : 6.0 		 Average Reward : -1.32
Updates : 208 		 SurvivalMonths : 12.0 		 Average Reward : -4.52
Updates : 210 		 SurvivalMonths : 56.0 		 Average Reward : -819.87
Updates : 212 		 SurvivalMonths : 3.0 		 Average Reward : -1.49
Updates : 214 		 SurvivalMonths : 19.0 		 Average Reward : 38.88
Updates : 216 		 SurvivalMonths : 8.0 		 Average Reward : 3.04
Updates : 218 		 SurvivalMonths : 11.0 		 Average Reward : 24.03
Updates : 220 		 SurvivalMonths : 5.0 		 Average Reward : -0.65
Updates : 222 		 SurvivalMonths : 7.0 		 Average Reward : 3.7
Updates : 224 		 SurvivalMonths : 11.0 		 Average Reward : 2.92
Updates : 226 		 SurvivalMonths : 27.0 		 Average Reward : 55.91
Updates : 228 		 SurvivalMonths : 9.0 		 Average Reward : 3.48
Updates : 230 		 SurvivalMonths : 53.0 		 Average Reward : -24.09
Updates : 232 		 SurvivalMonths : 10.0 		 Average Reward : 6.04
Updates : 234 		 SurvivalMonths : 10.0 		 Average Reward : 0.59
Updates : 236 		 SurvivalMonths : 17.0 		 Average Reward : -10.78
Updates : 238 		 SurvivalMonths : 108.0 		 Average Reward : 3203.21
Updates : 240 		 SurvivalMonths : 7.0 		 Average Reward : 5.21
Updates : 242 		 SurvivalMonths : 108.0 		 Average Reward : 3203.21
Updates : 244 		 SurvivalMonths : 7.0 		 Average Reward : 0.01
Updates : 246 		 SurvivalMonths : 108.0 		 Average Reward : 3203.21
Updates : 248 		 SurvivalMonths : 28.0 		 Average Reward : 95.54
Updates : 250 		 SurvivalMonths : 49.0 		 Average Reward : -149.54
Updates : 252 		 SurvivalMonths : 10.0 		 Average Reward : 2.92
Updates : 254 		 SurvivalMonths : 74.0 		 Average Reward : -1827.87
Updates : 256 		 SurvivalMonths : 26.0 		 Average Reward : 44.85
Updates : 258 		 SurvivalMonths : 10.0 		 Average Reward : 6.3
Updates : 260 		 SurvivalMonths : 43.0 		 Average Reward : -189.13
Updates : 262 		 SurvivalMonths : 12.0 		 Average Reward : 14.78
Updates : 264 		 SurvivalMonths : 18.0 		 Average Reward : 65.58
Updates : 266 		 SurvivalMonths : 108.0 		 Average Reward : 3203.21
Updates : 268 		 SurvivalMonths : 27.0 		 Average Reward : 130.75
Updates : 270 		 SurvivalMonths : 52.0 		 Average Reward : -228.1
Updates : 272 		 SurvivalMonths : 19.0 		 Average Reward : 28.81
Updates : 274 		 SurvivalMonths : 16.0 		 Average Reward : 4.9
Updates : 276 		 SurvivalMonths : 6.0 		 Average Reward : 2.6
Updates : 278 		 SurvivalMonths : 12.0 		 Average Reward : 16.53
Updates : 280 		 SurvivalMonths : 8.0 		 Average Reward : -3.27
Updates : 282 		 SurvivalMonths : 13.0 		 Average Reward : -6.53
Updates : 284 		 SurvivalMonths : 9.0 		 Average Reward : 5.13
Updates : 286 		 SurvivalMonths : 97.0 		 Average Reward : 2827.56
Updates : 288 		 SurvivalMonths : 6.0 		 Average Reward : 0.43
Updates : 290 		 SurvivalMonths : 5.0 		 Average Reward : -0.03
Updates : 292 		 SurvivalMonths : 3.0 		 Average Reward : -0.12
Updates : 294 		 SurvivalMonths : 39.0 		 Average Reward : 95.48
Updates : 296 		 SurvivalMonths : 70.0 		 Average Reward : 1614.64
Updates : 298 		 SurvivalMonths : 70.0 		 Average Reward : 1614.64
Updates : 300 		 SurvivalMonths : 52.0 		 Average Reward : 351.56
Updates : 302 		 SurvivalMonths : 11.0 		 Average Reward : 3.67
Updates : 304 		 SurvivalMonths : 9.0 		 Average Reward : 7.37
Updates : 306 		 SurvivalMonths : 81.0 		 Average Reward : 2099.39
Updates : 308 		 SurvivalMonths : 5.0 		 Average Reward : -0.31
Updates : 310 		 SurvivalMonths : 83.0 		 Average Reward : 2187.24
Updates : 312 		 SurvivalMonths : 65.0 		 Average Reward : -1518.79
Updates : 314 		 SurvivalMonths : 20.0 		 Average Reward : 28.8
Updates : 316 		 SurvivalMonths : 4.0 		 Average Reward : 0.47
Updates : 318 		 SurvivalMonths : 22.0 		 Average Reward : 77.17
Updates : 320 		 SurvivalMonths : 7.0 		 Average Reward : 0.86
Updates : 322 		 SurvivalMonths : 29.0 		 Average Reward : 101.85
Updates : 324 		 SurvivalMonths : 4.0 		 Average Reward : 0.84
Updates : 326 		 SurvivalMonths : 83.0 		 Average Reward : 2187.24
Updates : 328 		 SurvivalMonths : 38.0 		 Average Reward : 100.53
Updates : 330 		 SurvivalMonths : 50.0 		 Average Reward : -37.67
Updates : 332 		 SurvivalMonths : 33.0 		 Average Reward : 304.98
Updates : 334 		 SurvivalMonths : 56.0 		 Average Reward : 1088.91
Updates : 336 		 SurvivalMonths : 50.0 		 Average Reward : 886.87
Updates : 338 		 SurvivalMonths : 12.0 		 Average Reward : 14.67
Updates : 340 		 SurvivalMonths : 41.0 		 Average Reward : 547.36
Updates : 342 		 SurvivalMonths : 29.0 		 Average Reward : 73.37
Updates : 344 		 SurvivalMonths : 42.0 		 Average Reward : 642.65
Updates : 346 		 SurvivalMonths : 40.0 		 Average Reward : 586.49
Updates : 348 		 SurvivalMonths : 13.0 		 Average Reward : 15.61
Updates : 350 		 SurvivalMonths : 15.0 		 Average Reward : 2.94
Updates : 352 		 SurvivalMonths : 21.0 		 Average Reward : 64.08
Updates : 354 		 SurvivalMonths : 46.0 		 Average Reward : 760.97
Updates : 356 		 SurvivalMonths : 46.0 		 Average Reward : 760.97
Updates : 358 		 SurvivalMonths : 10.0 		 Average Reward : 8.77
Updates : 360 		 SurvivalMonths : 25.0 		 Average Reward : 119.47
Updates : 362 		 SurvivalMonths : 27.0 		 Average Reward : 186.29
Updates : 364 		 SurvivalMonths : 6.0 		 Average Reward : 3.8
Updates : 366 		 SurvivalMonths : 66.0 		 Average Reward : -1608.83
Updates : 368 		 SurvivalMonths : 36.0 		 Average Reward : 123.15
